Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
Duke,78.6,12.3,27.9,58.6,1.147,0.967,54.6,115.3,37.7,53.5,72.3,8.3,22,9,24.6,36.6,29.7,76,53.7,3.7,6.5,15.3,9.7,1.579,0.75,0.3,68.6,15.9,66.3,-12.3,43,48.5,31.8,49,67.8,102.5,12.5,11.3,1.106
Iowa,83.1,3.7,30.1,63.4,1.119,1.069,52.8,113.4,35.1,52.9,77.4,6.6,18.9,8.2,24.2,35.6,25.2,70.8,49,3.9,6.8,17.8,9.6,1.853,0.559,0.75,74.3,16.9,79.4,-3.7,45.8,52.3,35.8,51.5,70.4,110.4,15.4,12,1.282
Winthrop,75,1.4,24.5,54.1,1.053,1.033,51.9,112,33.7,52.8,69.6,7.2,21.3,8.5,22.3,34.1,28.1,68.6,49.4,2.7,5.7,11,13,0.847,0.483,0.3,71.2,18.4,73.5,-1.4,42.9,49.5,32,50.6,76,107.5,12.2,12.7,0.965
UAB,77,1.4,26.5,59.2,1.074,1.055,50,109.1,33.1,50.2,74.3,6.2,18.7,11,23.8,37.8,33.1,72.9,52.1,4.6,6.5,13.3,11.7,1.139,0.647,0.667,71.7,16.2,75.6,-1.4,44.6,51,34.8,50.2,72.4,108.5,13.3,11.3,1.177
Samford,84.5,9.5,29.4,60.5,1.116,0.99,56.8,119.1,39.5,55,72.1,9.8,24.9,8.3,23.3,35.4,27.2,69.7,49.7,3.7,9.5,17.2,13.2,1.301,0.818,0.667,75.7,19.1,74.9,-9.5,43.7,50.5,33.8,50.3,68.7,107.5,14,16,0.873
Arizona,87.1,15.1,31.2,64.5,1.142,0.945,54.5,115.3,36.6,54.4,71.7,7.9,21.6,11.5,27.5,42.6,34.6,79.3,56.6,3.7,8.3,18.5,11.9,1.547,0.75,0.167,76.3,16.4,72.1,-15.1,42.1,48.4,32.9,47.7,71.2,102.6,13.8,13.4,1.027
High Point,82.1,7,27,59,1.166,1.067,52.2,115.4,32.8,54.1,78.3,7.6,23.1,11.2,24.4,38.9,36.2,77,55.4,3.3,4.8,10.9,11.1,0.979,0.735,0.5,70.5,18.4,75.2,-7,44.6,50,34.1,49.5,72.8,111.5,11.2,9.7,1.155
Maryland,69,3.2,23.2,56.2,1.005,0.959,46.7,102.9,28.9,48.8,72,6.1,21.1,10.1,22.2,35.9,30.5,73.4,50.7,4.5,6.6,10.9,11.7,0.93,0.485,0.091,68.7,17.5,65.9,-3.2,41.8,46.7,32.8,45.7,76.6,102.8,11.1,12.6,0.88
Cal Poly,63.1,-11.4,22.4,55.4,0.916,1.081,46,99.2,33,44.1,70.4,6.2,18.8,6.9,20.2,30.8,21.3,67.6,44.4,3.6,5.4,9.8,12.5,0.781,0.097,0.5,68.9,19.1,74.5,11.4,46.1,51.5,35.6,50.7,74.7,112,12,11.7,1.028
St Thomas,70.4,4.8,25,54.2,1.083,1.01,54.4,114.1,35.7,55,72.4,8.9,24.9,5.9,20.8,30.2,20.8,76,49.1,2,5.9,12.7,9.4,1.35,0.567,0.273,65,15.9,65.6,-4.8,45.3,52,33.8,52.8,73.9,110.2,11.4,11.8,0.966
